trial,strategy,runtime_overhead_sec,replicated_kv_mb,recovery_time_sec,matches_baseline
1,none,0.0,0.0,1.5426,True
1,full,0.0083,1.998,0.5115,True
1,selective_prefix_plus_recent8,0.0078,1.8262,0.7279,True
1,periodic_k8,0.0085,1.9121,0.632,True
2,none,0.0,0.0,1.6971,True
2,full,0.0104,1.998,0.5429,True
2,selective_prefix_plus_recent8,0.0065,1.8262,0.7578,True
2,periodic_k8,0.0073,1.9121,0.6346,True
3,none,0.0,0.0,1.5528,True
3,full,0.0079,1.998,0.5166,True
3,selective_prefix_plus_recent8,0.0081,1.8262,0.7334,True
3,periodic_k8,0.0083,1.9121,0.623,True
4,none,0.0,0.0,1.5585,True
4,full,0.0082,1.998,0.5193,True
4,selective_prefix_plus_recent8,0.0084,1.8262,0.7386,True
4,periodic_k8,0.0111,1.9121,0.6268,True
5,none,0.0,0.0,1.5535,True
5,full,0.0082,1.998,0.5151,True
5,selective_prefix_plus_recent8,0.0084,1.8262,0.7345,True
5,periodic_k8,0.0082,1.9121,0.6255,True
